frame,tx,ty,tz,pitch,yaw,roll
1,-103.95924377441406,-56.0401725769043,229.9698486328125,-108.73168182373047,-10.75067138671875,-30.493379592895508
2,-104.56702423095703,-56.406211853027344,231.36175537109375,-113.9715576171875,-11.255436897277832,-31.960546493530273
3,-104.8016357421875,-56.549747467041016,231.9250030517578,-115.98849487304688,-11.448281288146973,-32.52659606933594
4,-104.90471649169922,-56.66753387451172,232.2955780029297,-117.16343688964844,-11.555425643920898,-32.83939743041992
5,-105.05139923095703,-56.74375534057617,232.55747985839844,-117.95439910888672,-11.657110214233398,-33.08242416381836
6,-105.06898498535156,-56.77333450317383,232.65895080566406,-118.617431640625,-11.732145309448242,-33.257469177246094
7,-104.84668731689453,-56.93949508666992,232.6850128173828,-119.1414794921875,-11.777039527893066,-33.35811996459961
8,-104.30152130126953,-57.23788070678711,232.5298614501953,-119.52516174316406,-11.8709077835083,-33.40170669555664
9,-103.60212707519531,-57.610267639160156,232.37274169921875,-119.84882354736328,-11.953289985656738,-33.36449432373047
10,-102.88381958007812,-58.04170227050781,232.20135498046875,-120.02700805664062,-12.027839660644531,-33.28472900390625
11,-101.7717514038086,-58.67695617675781,231.971923828125,-120.14473724365234,-12.143444061279297,-33.10765838623047
12,-100.6424331665039,-59.368900299072266,231.76687622070312,-120.14298248291016,-12.286745071411133,-32.89885330200195
13,-99.44092559814453,-60.0355224609375,231.52098083496094,-120.12925720214844,-12.453385353088379,-32.62388229370117
14,-98.1956787109375,-60.71308517456055,231.29151916503906,-120.10000610351562,-12.55123233795166,-32.32097244262695
15,-97.08845520019531,-61.310054779052734,231.06004333496094,-120.04473876953125,-12.668990135192871,-32.04010772705078
16,-96.1091079711914,-61.8232307434082,230.82960510253906,-119.97318267822266,-12.760945320129395,-31.758527755737305
17,-95.07710266113281,-62.341217041015625,230.52772521972656,-119.89769744873047,-12.870097160339355,-31.488876342773438
18,-94.1086654663086,-62.8486213684082,230.24600219726562,-119.7737045288086,-12.943671226501465,-31.23234748840332
19,-93.33170318603516,-63.25830078125,230.04359436035156,-119.68260955810547,-12.994760513305664,-31.01602554321289
20,-92.32876586914062,-63.7968635559082,229.87608337402344,-119.6012191772461,-13.013895988464355,-30.742116928100586
21,-90.80127716064453,-64.63224792480469,229.8087921142578,-119.55351257324219,-12.99087142944336,-30.314773559570312
22,-88.51049041748047,-65.8222427368164,229.6971435546875,-119.50408935546875,-12.883783340454102,-29.694059371948242
23,-85.95979309082031,-67.0206527709961,229.40382385253906,-119.46001434326172,-12.755240440368652,-29.00608253479004
24,-83.45874786376953,-68.16573333740234,229.099365234375,-119.42677307128906,-12.611812591552734,-28.32113265991211
25,-80.44947814941406,-69.55104064941406,228.95077514648438,-119.41496276855469,-12.362226486206055,-27.49311065673828
26,-77.38138580322266,-70.85518646240234,228.6682586669922,-119.41045379638672,-12.116415023803711,-26.659387588500977
27,-74.6329116821289,-71.99827575683594,228.36453247070312,-119.36465454101562,-11.875786781311035,-25.890600204467773
28,-72.07050323486328,-73.07222747802734,228.19691467285156,-119.37393188476562,-11.5902099609375,-25.143613815307617
29,-69.5972900390625,-74.06839752197266,228.05587768554688,-119.41594696044922,-11.257570266723633,-24.39622688293457
30,-67.32148742675781,-74.97676849365234,227.91952514648438,-119.43466186523438,-10.937969207763672,-23.712247848510742
31,-65.27780151367188,-75.77098083496094,227.8226318359375,-119.48250579833984,-10.617926597595215,-23.067546844482422
32,-62.94137191772461,-76.63330078125,227.7257537841797,-119.5284423828125,-10.286720275878906,-22.366479873657227
33,-61.05082702636719,-77.36473846435547,227.71852111816406,-119.5841293334961,-10.005603790283203,-21.754711151123047
34,-59.80239486694336,-77.86547088623047,227.6743927001953,-119.59140014648438,-9.758644104003906,-21.30193328857422
35,-58.73222351074219,-78.27564239501953,227.6373748779297,-119.62519836425781,-9.528388977050781,-20.903301239013672
36,-57.56389236450195,-78.75357055664062,227.8627471923828,-119.72501373291016,-9.351399421691895,-20.499256134033203
37,-55.328147888183594,-79.51231384277344,227.93446350097656,-119.81558990478516,-9.167802810668945,-19.881210327148438
38,-52.3259162902832,-80.44894409179688,227.97409057617188,-119.90970611572266,-8.970758438110352,-19.099634170532227
39,-49.590824127197266,-81.30644989013672,228.0352020263672,-119.9740982055664,-8.782342910766602,-18.378969192504883
40,-46.239646911621094,-82.26803588867188,228.0480194091797,-120.03616333007812,-8.700521469116211,-17.552656173706055
