frame,tx,ty,tz,pitch,yaw,roll
1,-104.99758385971414,-56.59989719800114,232.26676920473795,-119.59169531542281,-11.824438223123941,-33.53902861863018
2,-105.00931743721901,-56.67913645372709,232.38276046648346,-119.51596901929814,-11.789207615813055,-33.512925407221466
3,-104.89477432120391,-56.61759992432496,232.18382317719528,-119.61280877481585,-11.79394483428284,-33.54389246681865
4,-104.79677048334523,-56.68764543571951,232.23920683002368,-119.65994099755036,-11.77894846753072,-33.49444091681552
5,-105.03244439848633,-56.70010101017201,232.3620867477134,-119.49632124909158,-11.887183223480223,-33.585579256087996
6,-104.86605170628825,-56.67150417157375,232.27366141857843,-119.70207777339256,-11.86798586504841,-33.52118366447213
7,-104.3056036704183,-57.068458535725966,232.2500285696965,-119.64982623368239,-11.795613190434166,-33.33794634558682
8,-103.28528506247636,-57.573892819035954,231.84586565572957,-119.47733969024826,-12.061998993251233,-33.180356414619574
9,-102.40565994368995,-58.04868608812959,231.75686280511678,-119.59277092845839,-12.08042934335915,-32.88167849060522
10,-101.75029332580716,-58.56331875735883,231.60864470744406,-119.28090337577105,-12.111927008281993,-32.7068405662351
11,-99.84208305331276,-59.61529981930395,231.2921205741755,-119.26236641874081,-12.36652926708333,-32.241913848464776
12,-98.78945494389615,-60.38676387624693,231.18772603838573,-118.90912043756582,-12.589465738712759,-32.0022476311586
13,-97.50014186655356,-60.931901137084935,230.86663699305126,-118.9586476024583,-12.817295381338251,-31.557159522142047
14,-96.22764580104366,-61.596074728244105,230.71544576965988,-118.95988456875827,-12.62071146723657,-31.22861070330235
15,-95.62302642266424,-61.91160551578418,230.50400118521222,-118.87817843727231,-12.813402858016973,-31.110411403890975
16,-95.11276372766623,-62.13251701839155,230.30029977030713,-118.80937264474515,-12.78962081609955,-30.881893351032826
17,-93.9427836779121,-62.65446686704173,229.7786740043703,-118.77934982951712,-12.971328046660515,-30.71063690950381
18,-93.2427811909241,-63.11248806522312,229.59672698124564,-118.49180733444749,-12.880656657306977,-30.55028014718859
19,-93.21066113608147,-63.14843610245601,229.71328656323735,-118.60959783594387,-12.829688490234673,-30.550899784458615
