frame,tx,ty,tz,pitch,yaw,roll
1,-103.04205848959508,-56.61063115248515,226.72048515660524,-116.49255549639103,-10.375843700168005,-34.93842000198022
2,-102.60552552776248,-56.473253297813265,226.4502316301571,-116.34325358894067,-10.322782862847037,-34.89769264147352
3,-102.7596478463487,-56.58204205700419,226.58953341741835,-116.32905087575996,-10.31313857026124,-34.86806193091374
4,-102.69683314413209,-56.629409992195896,226.6283987401549,-116.46707479929533,-10.307950084206132,-34.964927980109614
5,-102.81478789730893,-56.6710981446371,226.6517125705239,-116.31795674170937,-10.240215801441144,-34.88302243478444
6,-102.83479106304121,-56.75852386639226,226.62867397488327,-116.08570183307388,-10.384372955336504,-34.889396503437055
7,-102.13709821084048,-56.99209191345001,226.48614712069647,-116.4425019807231,-10.280361686159985,-34.76317090213636
8,-101.18227801996605,-57.56637114696359,226.28768579478674,-116.29203300496603,-10.410788349896725,-34.46832650834573
9,-100.34391983795717,-58.031624914268,226.1757298364079,-116.31749085641682,-10.51728766679243,-34.192731416330346
10,-99.69840602458218,-58.445344907117146,225.95364839948587,-116.0745862506482,-10.66308357576539,-34.107573757943676
11,-97.81198956874974,-59.561853438037694,225.6574248377927,-115.94051428993762,-10.803908721068456,-33.511890262058465
12,-96.62798753443369,-60.22570761936616,225.40884389420566,-115.78373463538354,-10.946089017759736,-33.2221213358645
13,-95.38207783973377,-60.73293927373867,225.1720703426561,-115.9136116860768,-11.154351944471545,-32.87335028892154
14,-94.22982264908437,-61.343757042151516,224.93257770965945,-115.75823600159433,-11.27148040593069,-32.54670686819531
15,-93.60819032722321,-61.73369326888419,224.87077083606974,-115.73811705949325,-11.262682843128216,-32.345349650075725
16,-93.14796229109051,-61.90232746697842,224.66045039406177,-115.66015878766287,-11.364775239667026,-32.24035720124641
17,-91.95220702497177,-62.446128752260044,224.0613172454895,-115.54676005759198,-11.4669424795335,-31.935656502620642
18,-91.23354900074753,-62.86819341058797,223.92722021726112,-115.40957787807744,-11.326837747063864,-31.68955676943954
19,-91.22660792112849,-62.94779341027978,223.9825298611171,-115.35668315869889,-11.33006969460511,-31.67488231339236
20,-89.38968684493256,-63.93535820449894,223.98460902796225,-115.47367656126139,-11.226802647350718,-31.147575416328902
21,-85.77957236179404,-66.11074233206222,223.9041793342925,-114.82601278116555,-10.942306620103754,-29.803733341271432
22,-80.35513564005281,-68.40468579183549,223.4348939205429,-115.33556498203515,-10.606421376810282,-28.255958438227058
23,-77.00311904289372,-69.62110208576358,222.54420387509862,-115.17002283675332,-10.368255201596462,-27.208910740196778
24,-75.04354749286796,-70.40214369514403,222.30435032186674,-115.30783658552048,-10.25076695112864,-26.64768991818511
25,-69.94705015809957,-72.69161324657267,222.5738139930734,-115.33588352388459,-9.60152778549068,-25.081755350819083
26,-66.89038205480709,-73.50994987497312,221.84237821308247,-115.55048639301636,-9.321243826442565,-24.107249113280602
27,-65.94357735425282,-73.65751271480094,221.52225082194173,-115.65821972345857,-9.122571503965434,-23.796317622633932
28,-64.56472305091097,-74.25050879766657,221.8811818071844,-115.91622899798861,-8.67538060471694,-23.28668006255716
29,-62.79826262020909,-74.8545944420849,221.84255521202365,-115.94656434544713,-8.092608101322714,-22.632384124276676
30,-61.6800751334547,-75.192938055568,221.65427747456093,-115.93829198043417,-7.908582631142301,-22.28986512887425
31,-61.13494539321703,-75.40818350073205,221.76931461066295,-115.90073261390101,-7.798011167385816,-22.149875574959236
32,-57.34750633643256,-76.61691268066373,221.903409518225,-116.19669067209371,-7.3424787007527,-20.965069174334246
33,-57.96163941340567,-76.48577922553172,222.1407129073044,-116.36035888599,-7.467143638571293,-21.110734701681526
34,-60.385442208142855,-75.68663143827379,221.89434971116043,-116.04634455705167,-7.520547476961147,-21.898252794769668
35,-60.377096304223244,-75.62100653505463,221.89667726323373,-116.25080305163164,-7.593698244933889,-21.9242481323422
36,-58.48348433393464,-76.57437703042244,223.22316148444153,-116.35987192049417,-7.705780311124172,-21.300901903569386
37,-50.08185005122509,-78.96375951248137,222.690934010343,-116.83872817449112,-7.554173155644812,-18.95838861919634
38,-42.76814173920076,-80.8708316982769,222.4483888805094,-116.98058177235721,-7.49530455590784,-16.803935224154838
39,-41.897148978788294,-81.11860354407854,222.57425068723637,-116.9324372627557,-7.491100773989834,-16.63378588116309
40,-34.88198535624371,-82.90893098996426,222.16145121637007,-116.33563519423679,-7.676426460705208,-14.782710320049157
41,-33.091051196034265,-83.1306313190397,221.53096188547468,-116.00249612276565,-7.749088577471384,-14.391447184702223
42,-32.686075675373324,-82.9451654138213,221.86863892915778,-117.14819200840951,-7.675691521518499,-13.950131989495338
43,-31.9594658875233,-83.29761340931778,221.55551404769093,-116.24208824293989,-7.184575653443844,-13.89344886239249
44,-28.615696422552727,-84.3017313234577,223.0911002749477,-116.83770499209726,-6.2626153360922014,-12.762911603830181
45,-24.1958356898296,-84.80604832960944,222.08322735014775,-116.54508475370254,-4.953932735530255,-11.395200716038035
