frame,tx,ty,tz,pitch,yaw,roll
1,-102.84851074515029,-56.509332281281765,226.58154412626106,-116.5203087181922,-10.36149145503552,-34.930893809715414
2,-102.87127141078427,-56.612524059054685,226.64102052894978,-116.30459115721919,-10.342566670270473,-34.908002402953336
3,-102.8546340308384,-56.63161096239468,226.65769699015658,-116.31602748259883,-10.320198297262568,-34.87169218195925
4,-102.73212021603094,-56.64802761771666,226.65393011058333,-116.46269298628458,-10.31064265835536,-34.966789964745196
5,-102.82901314141812,-56.67822142122611,226.66144761114438,-116.3151710777754,-10.241025482500191,-34.88305502719402
6,-102.83987517512736,-56.76142678303519,226.6322209851839,-116.08432198315634,-10.385484964914356,-34.88975247586366
7,-102.13633942518545,-56.99375921159864,226.48705153448296,-116.44418718179071,-10.279859060280637,-34.76280676438026
8,-101.18099797079921,-57.568300224800616,226.28782014699976,-116.29078459018147,-10.411465985493935,-34.46754344309971
9,-100.34387989261383,-58.031962878815726,226.17611749560274,-116.31764832978487,-10.517471376274552,-34.19250635316928
10,-99.69912751088938,-58.44529107564833,225.95340966140463,-116.07362761911405,-10.663292621808408,-34.10821085574392
11,-97.80758368424391,-59.56448877658908,225.6570581313793,-115.94055089798974,-10.803993528856944,-33.51020216001708
12,-96.62898110690978,-60.225039330703744,225.40895513670148,-115.78364513353242,-10.946132859842862,-33.2226285934216
13,-95.38222269251935,-60.732101457624246,225.17217382393795,-115.91465747336619,-11.154610132852099,-32.87330647403833
14,-94.23025185213899,-61.34384946742183,224.93267285076476,-115.75756074114128,-11.271239633170124,-32.54677779138455
15,-93.61036160288333,-61.732904544248655,224.87148561935834,-115.73834897872653,-11.262117661173615,-32.34584976731881
16,-93.14940680871904,-61.901190687132384,224.660163615708,-115.66003087965922,-11.364976517833197,-32.240916066657746
17,-91.94999037101641,-62.447113444974974,224.0597594423451,-115.54658150349123,-11.467020145867638,-31.935109654174614
18,-91.23449527758005,-62.868125761898376,223.92838401167938,-115.4094049761726,-11.325962679516824,-31.689567435617743
19,-91.22966002085997,-62.94647268280261,223.98369655986417,-115.35694409596668,-11.330271427602472,-31.675750973113438
20,-89.3839367077328,-63.93828089698896,223.98484720163069,-115.47442004330475,-11.226475799902252,-31.145970117341072
21,-85.7706237297156,-66.11633401536402,223.9038844098339,-114.82339352912496,-10.941514039435443,-29.800043068379996
22,-80.34495181959818,-68.40733309530772,223.4335092233097,-115.33899583293902,-10.605839343643472,-28.25373163567865
23,-77.00708897822804,-69.61817473094166,222.542324450871,-115.1688539923603,-10.368488108350107,-27.209964785666884
24,-75.05032392028086,-70.39946433915034,222.30625139766306,-115.3085884731334,-10.251307782201982,-26.64989919176154
25,-69.9377572476888,-72.69632965678628,222.57651386496835,-115.3357433396516,-9.5997364191084,-25.078799555358835
26,-66.89460973725984,-73.50626552926673,221.83980013354233,-115.5512593031009,-9.321968883970223,-24.108350287890648
27,-65.95315114244947,-73.65361499989488,221.52290556934707,-115.658162916579,-9.12318595007254,-23.799236883906463
28,-64.56675741885253,-74.2507034580204,221.8840051729069,-115.91679505020187,-8.674683646836481,-23.287048586815384
29,-62.797598268757675,-74.85471807902849,221.8421584908948,-115.94594086895844,-8.091836254140187,-22.63198119398138
30,-61.682284079411005,-75.19199019782823,221.65358784552834,-115.93794240580638,-7.909816855731696,-22.290895379173953
31,-61.13795781386504,-75.40735441846216,221.7701926050214,-115.90049862742615,-7.79876578059245,-22.15102736690889
32,-57.33638965178787,-76.62033144702117,221.90377969484916,-116.19785532677781,-7.341446443269121,-20.961554640142037
