frame,tx,ty,tz,pitch,yaw,roll
1,-1.018302083015442,-0.5594983100891113,2.2433815002441406,-116.5203087181922,-10.36149145503552,-34.930893809715414
2,-3.0068130493164062,-1.6538411378860474,6.624374866485596,-116.30459115721919,-10.342566670270473,-34.908002402953336
3,-5.875344276428223,-3.2332987785339355,12.945718765258789,-116.31602748259883,-10.320198297262568,-34.87169218195925
4,-9.498607635498047,-5.2314581871032715,20.940204620361328,-116.46269298628458,-10.31064265835536,-34.966789964745196
5,-13.743795394897461,-7.571543216705322,30.297565460205078,-116.3151710777754,-10.241025482500191,-34.88305502719402
6,-18.458738327026367,-10.174641609191895,40.68756866455078,-116.08432198315634,-10.385484964914356,-34.88975247586366
7,-23.45479393005371,-12.969773292541504,51.7804069519043,-116.44418718179071,-10.279859060280637,-34.76280676438026
8,-28.574283599853516,-15.906365394592285,63.27279281616211,-116.29078459018147,-10.411465985493935,-34.46754344309971
9,-33.7015380859375,-18.91405487060547,74.90740203857422,-116.31764832978487,-10.517471376274552,-34.19250635316928
10,-38.74957275390625,-21.934904098510742,86.45572662353516,-116.07362761911405,-10.663292621808408,-34.10821085574392
11,-43.54043960571289,-24.980432510375977,97.7354736328125,-115.94055089798974,-10.803993528856944,-33.51020216001708
12,-48.072662353515625,-27.978679656982422,108.61620330810547,-115.78364513353242,-10.946132859842862,-33.2226285934216
13,-52.29978942871094,-30.890050888061523,119.00225067138672,-115.91465747336619,-11.154610132852099,-32.87330647403833
14,-56.20525360107422,-33.70511245727539,128.82888793945312,-115.75756074114128,-11.271239633170124,-32.54677779138455
15,-59.82489013671875,-36.39105224609375,138.07427978515625,-115.73834897872653,-11.262117661173615,-32.34584976731881
16,-63.16865539550781,-38.92068862915039,146.7066192626953,-115.66003087965922,-11.364976517833197,-32.240916066657746
17,-66.16758728027344,-41.328487396240234,154.68763732910156,-115.54658150349123,-11.467020145867638,-31.935109654174614
18,-68.8783187866211,-43.602359771728516,162.07528686523438,-115.4094049761726,-11.325962679516824,-31.689567435617743
19,-71.38148498535156,-45.71156692504883,168.9064178466797,-115.35694409596668,-11.330271427602472,-31.675750973113438
20,-73.50251770019531,-47.75371551513672,175.19871520996094,-115.47442004330475,-11.226475799902252,-31.145970117341072
21,-75.08536529541016,-49.85013961791992,180.97093200683594,-114.82339352912496,-10.941514039435443,-29.800043068379996
22,-75.98033905029297,-52.00656509399414,186.2129669189453,-115.33899583293902,-10.605839343643472,-28.25373163567865
23,-76.45025634765625,-54.105804443359375,190.91476440429688,-115.1688539923603,-10.368488108350107,-27.209964785666884
24,-76.6694107055664,-56.10598373413086,195.1807403564453,-115.3085884731334,-10.251307782201982,-26.64989919176154
25,-76.32592010498047,-58.172183990478516,199.0943145751953,-115.3357433396516,-9.5997364191084,-25.078799555358835
26,-75.68160247802734,-60.141353607177734,202.5743865966797,-115.5512593031009,-9.321968883970223,-24.108350287890648
27,-74.98393249511719,-61.94972229003906,205.69805908203125,-115.658162916579,-9.12318595007254,-23.799236883906463
28,-74.18993377685547,-63.657508850097656,208.56521606445312,-115.91679505020187,-8.674683646836481,-23.287048586815384
29,-73.26649475097656,-65.27294921875,211.15219116210938,-115.94594086895844,-8.091836254140187,-22.63198119398138
30,-72.29553985595703,-66.77410125732422,213.46519470214844,-115.93794240580638,-7.909816855731696,-22.290895379173953
31,-71.34378814697266,-68.1565933227539,215.55953979492188,-115.90049862742615,-7.79876578059245,-22.15102736690889
32,-70.05254364013672,-69.53939819335938,217.454833984375,-116.19785532677781,-7.341446443269121,-20.961554640142037
33,-68.94062042236328,-70.77301025390625,219.17889404296875,-116.36033408028867,-7.468958771089494,-21.11442709085081
34,-68.19154357910156,-71.79634094238281,220.69204711914062,-116.04451970911111,-7.520956981524844,-21.902079493330735
35,-67.5021743774414,-72.70936584472656,222.04025268554688,-116.2520628220938,-7.593945499217337,-21.922849862794546
36,-66.65802764892578,-73.63520050048828,223.38616943359375,-116.36001773795218,-7.7060204665307435,-21.297885162458744
37,-64.9392318725586,-74.73403930664062,224.5192413330078,-116.84011474897676,-7.553172211930083,-18.950770679357692
38,-62.549591064453125,-75.9352798461914,225.49241638183594,-116.97984341018663,-7.495398413430905,-16.801763520237493
39,-60.27984619140625,-77.04149627685547,226.3612060546875,-116.93141233585904,-7.491369597407602,-16.640457595200466
40,-57.41387939453125,-78.23815155029297,227.0730743408203,-116.33318831710031,-7.677317159109095,-14.778971663074383
41,-54.60972595214844,-79.33586883544922,227.61767578125,-116.00249597558951,-7.748928967092953,-14.395451025774141
42,-52.01839828491211,-80.29751586914062,228.12155151367188,-117.15381627671451,-7.675147130865696,-13.951522916756094
43,-49.5847282409668,-81.19722747802734,228.5128936767578,-116.23654749597591,-7.18279244497716,-13.895414957259268
44,-46.993473052978516,-82.11532592773438,229.01686096191406,-116.8412054921246,-6.260286315909584,-12.759607072356394
45,-44.137088775634766,-82.99153900146484,229.32705688476562,-116.54320235206254,-4.951633483983008,-11.393080639991434
46,-41.021705627441406,-83.83399200439453,229.62713623046875,-117.33071516431394,-4.052943517484336,-9.695062010176505
47,-37.859859466552734,-84.6174087524414,229.76795959472656,-116.86490064248616,-3.9330115058401645,-9.037329650641569
48,-34.4970588684082,-85.3753433227539,229.92152404785156,-117.30620839403365,-3.1726526442492307,-7.559201733722816
49,-30.761648178100586,-86.06484985351562,229.96189880371094,-117.9397938169124,-2.3922996253028663,-5.859460811356364
50,-27.324237823486328,-86.69658660888672,229.979248046875,-117.43353876090302,-2.3102392783854206,-5.55716224557673
51,-23.577783584594727,-87.2701644897461,229.93362426757812,-117.77884651806284,-1.6549020660424594,-4.045063103135669
52,-20.19740104675293,-87.7747573852539,229.8505096435547,-117.71557603951912,-1.6502560528826178,-4.026121966296209
53,-17.080739974975586,-88.23468017578125,229.76466369628906,-117.4351775270084,-1.5806414777073923,-3.7154896429748
54,-14.09308910369873,-88.66058349609375,229.70379638671875,-117.42429729458748,-1.3252069778308744,-3.2483395817105722
55,-11.03509521484375,-89.05282592773438,229.6341094970703,-117.26647864244698,-0.9703644004159596,-2.377086720873757
56,-7.5173540115356445,-89.38999938964844,229.4960174560547,-117.16682404842082,-0.2882668242221252,-0.47278410742792554
57,-4.067096710205078,-89.68306732177734,229.34515380859375,-117.00938719651577,0.09448786454975622,0.2571809440726173
58,-0.14131122827529907,-90.11554718017578,229.93724060058594,-118.65185695927278,3.7359469029389674,2.1908461070149903
59,3.654052734375,-90.2530746459961,229.66357421875,-116.9658706643564,0.9486893038606855,2.967241812342955
60,7.328073978424072,-90.360107421875,229.41964721679688,-116.85142288064016,1.240992828746683,3.658467787578393
61,11.150955200195312,-90.45075225830078,229.26809692382812,-116.37971287485303,1.5832998363422446,4.80530531763252
62,15.157754898071289,-90.40006256103516,229.02642822265625,-116.80059403791758,2.133700256927292,6.415579198357234
63,19.0074405670166,-90.31671905517578,228.79457092285156,-116.75177679396874,2.2904595828339813,6.974245771810479
64,22.900957107543945,-90.20401000976562,228.64556884765625,-116.60408751924919,2.7028149516045765,8.096231907382466
65,26.666297912597656,-90.02301025390625,228.4553680419922,-116.71305778731798,2.9850487510412393,8.822104877051672
66,30.309778213500977,-89.80690002441406,228.27926635742188,-116.65599741292833,3.203153059507979,9.484657070748607
67,33.90390396118164,-89.546630859375,228.12014770507812,-116.51332946618032,3.5493858026531035,10.385869994923576
68,37.196414947509766,-89.27720642089844,227.9524383544922,-116.56798046352075,3.549053243384211,10.569453659544978
69,40.341121673583984,-88.99848937988281,227.81365966796875,-116.51051315539324,3.731370145500305,11.002237003889729
70,43.46173095703125,-88.66553497314453,227.68699645996094,-116.56042611322262,3.8887504508303143,11.83408686581374
71,46.53660583496094,-88.31395721435547,227.59393310546875,-116.2433102613098,4.227159239371129,12.580545149894924
72,49.97955322265625,-87.83656311035156,227.55810546875,-116.23456448907781,4.752928710638404,14.296494894939636
73,53.3531494140625,-87.35774230957031,227.5876007080078,-116.093474354387,5.047433572002267,15.089524750709527
74,57.20688247680664,-86.65613555908203,227.58367919921875,-116.16696032388829,5.414673598064752,17.084363028358112
75,60.97950744628906,-85.91091918945312,227.6032257080078,-116.27660934510527,5.432169024948542,17.817676530446416
76,64.57271575927734,-85.3594741821289,227.86415100097656,-114.88342441458843,2.7573970200448583,16.75939556218939
77,67.77992248535156,-84.81403350830078,227.9842529296875,-114.62224361427863,2.5768504875900273,16.873550610783745
