frame,tx,ty,tz,pitch,yaw,roll
1,-102.8485086703954,-56.509325780156445,226.58151008908084,-116.52028170022956,-10.361512278698466,-34.930902790474484
2,-102.87126398516303,-56.61251505399297,226.6409960999823,-116.30459848681072,-10.342570824779425,-34.90800138247303
3,-102.85462488498706,-56.63160377644398,226.65768845476205,-116.3160531889254,-10.320186095932542,-34.87168582122961
4,-102.73212751711141,-56.648029067272056,226.65394641436384,-116.4626959848901,-10.3106447681577,-34.96678955099652
5,-102.82901770162768,-56.67821219485974,226.6614378848996,-116.31517065049023,-10.241043483544116,-34.88306281763899
6,-102.83986791427039,-56.76142086441121,226.6322062267004,-116.08433344484578,-10.385478463319904,-34.88975352614319
7,-102.13635117051611,-56.99376696650394,226.48707340583846,-116.44417776200507,-10.279835885158212,-34.762800060510074
8,-101.18101065667257,-57.56830451764503,226.28784622266807,-116.29079176270054,-10.411465442274807,-34.46754013995885
9,-100.34325518167135,-58.03153109288736,226.17423614229884,-116.31728425285424,-10.516854928002832,-34.1928536433883
10,-99.69915182335258,-58.44529834048567,225.953437146903,-116.07360918948412,-10.66331190171892,-34.1082156748702
11,-97.80758804515652,-59.56448714817271,225.65704509715914,-115.94053473902187,-10.804012588460578,-33.51020389559537
12,-96.6289887553002,-60.22504428461804,225.40897462300222,-115.78364682474654,-10.946125288320083,-33.222626740197775
13,-95.38222024530225,-60.73209834919427,225.17216928424935,-115.91466333266769,-11.154611713322627,-32.87330803231769
14,-94.23025585813168,-61.34385318177434,224.9326821000754,-115.75756620298979,-11.271221355396946,-32.54677183813872
15,-93.61034527001024,-61.732881970140156,224.8714201829457,-115.73835503156623,-11.262131762645193,-32.34586449810275
16,-93.14940524389557,-61.90118709930066,224.66014903660866,-115.66002125382049,-11.364981765666151,-32.24091768713286
17,-91.94999063942015,-62.44711538247507,224.0597528823157,-115.54657116768013,-11.4670141484724,-31.93510713519608
18,-91.2345051217478,-62.86813213447279,223.92838592541176,-115.40938165347121,-11.325969003281614,-31.68957619774372
19,-91.22966338109966,-62.9464755165266,223.98370239873503,-115.35694253334744,-11.330266290980266,-31.675754546101377
20,-89.38393687174988,-63.93828266182502,223.98485236199448,-115.47442225057246,-11.226463851593916,-31.145967036930777
21,-85.77063396912425,-66.1163386287226,223.90389736935097,-114.82339021743171,-10.941512715659776,-29.800049884826237
22,-80.34495327556316,-68.40733030877975,223.43350547074326,-115.3390188568694,-10.605830780968464,-28.25372772776822
23,-77.00708953461434,-69.6181763141678,222.54232464261906,-115.16885060497106,-10.368487174023594,-27.209966655431515
24,-75.05033397995733,-70.39946807170304,222.3062698081271,-115.30859159040115,-10.251310756845013,-26.649906093335773
25,-69.93775947088753,-72.69632746702557,222.57651445453607,-115.33576061723534,-9.599728660140439,-25.078801855587567
26,-66.89462305883009,-73.50626294383373,221.8398021382988,-115.55125342074777,-9.321989803073107,-24.108352419570156
27,-65.9531489563354,-73.6536090280145,221.52290791968838,-115.65819205545415,-9.12317617344325,-23.799227197202633
28,-64.56676250226174,-74.25071129894246,221.88402640232152,-115.91679999060345,-8.674677093806359,-23.28703579898189
29,-62.79759770755044,-74.85471623844158,221.84216636769958,-115.94596432727023,-8.091828398573453,-22.631973086760418
30,-61.68228644480836,-75.19198616941853,221.65359523652592,-115.93795975607813,-7.909815854183176,-22.290904018815212
31,-61.13795770751233,-75.40736044003746,221.77019605155132,-115.90048491983984,-7.798750795935528,-22.151022420921354
32,-57.33639512680319,-76.62033344503003,221.90378015304054,-116.19785135958534,-7.341455782541253,-20.961554226693657
33,-57.97405307861405,-76.48205458317932,222.14132845481868,-116.36033853639996,-7.4689584115963,-21.11442207330695
34,-60.397001502703716,-75.6826491006827,221.89268203846052,-116.04453520103627,-7.520949457804152,-21.902075484833986
35,-60.37237657910144,-75.62226291289538,221.89701716489358,-116.25206304819048,-7.593954615311857,-21.92284617701259
36,-58.47448212350562,-76.578719268752,223.2283024915733,-116.36001470952648,-7.70604483838213,-21.297898437879137
37,-50.053944778978014,-78.97067967237176,222.68562990802974,-116.84009931641485,-7.553169144167674,-18.950766140207623
38,-42.761634696008315,-80.87196547786982,222.44802058305527,-116.97984944459067,-7.49539298043702,-16.801760441049865
39,-41.91909271421192,-81.11296173890435,222.57587272904038,-116.93141194490619,-7.491379513447251,-16.640456546492416
40,-34.867209963363415,-82.91253702755428,222.15993403464716,-116.33319521711103,-7.677333217277768,-14.778979483851524
