label,x,y,z
#0-0,-8.40833,-26.121,-3.65967
#0-1,8.40833,-26.121,-3.65967
#0-2,8.40833,-18.6004,-18.701
#0-3,-8.40833,-18.6004,-18.701
#1-0,8.55106,26.0746,-3.65967
#1-1,4.13054,19.9903,-18.701
#1-2,17.7355,10.1057,-18.701
#1-3,22.156,16.19,-3.65967
#2-0,8.40833,18.6004,18.701
#2-1,-8.40833,18.6004,18.701
#2-2,-8.40833,26.121,3.65967
#2-3,8.40833,26.121,3.65967
#3-0,-15.0917,-13.7446,-18.7009
#3-1,-20.2883,2.24897,-18.701
#3-2,-27.4409,-0.075068,-3.65968
#3-3,-22.2442,-16.0686,-3.65968
#4-0,-8.40833,8.40833,25
#4-1,8.40833,8.40833,25
#4-2,8.40833,-8.40833,25
#4-3,-8.40833,-8.40833,25
#5-0,22.2442,-16.0686,-3.65968
#5-1,27.4409,-0.075068,-3.65968
#5-2,20.2883,2.24897,-18.701
#5-3,15.0917,-13.7446,-18.7009
#6-0,8.55106,-26.0746,3.65967
#6-1,4.13054,-19.9903,18.701
#6-2,17.7355,-10.1057,18.701
#6-3,22.156,-16.19,3.65967
#7-0,8.40833,-8.40833,-25
#7-1,8.40833,8.40833,-25
#7-2,-8.40833,8.40833,-25
#7-3,-8.40833,-8.40833,-25
#8-0,22.2442,16.0686,3.65968
#8-1,27.4409,0.075068,3.65968
#8-2,20.2883,-2.24897,18.701
#8-3,15.0917,13.7446,18.7009
#9-0,-27.4409,0.075068,3.65968
#9-1,-22.2442,16.0686,3.65968
#9-2,-15.0917,13.7446,18.7009
#9-3,-20.2883,-2.24897,18.701
#10-0,-22.156,16.19,-3.65967
#10-1,-17.7355,10.1057,-18.701
#10-2,-4.13054,19.9903,-18.701
#10-3,-8.55105,26.0746,-3.65967
#11-0,-17.7355,-10.1057,18.701
#11-1,-4.13054,-19.9903,18.701
#11-2,-8.55106,-26.0746,3.65967
#11-3,-22.156,-16.19,3.65967
