label,x,y,z
#0-0,-10.4657,-9.301,-19.7122
#0-1,-3.7963,1.4606,-23.8341
#0-2,-12.9507,9.301,-18.1764
#0-3,-19.6201,-1.4606,-14.0545
#1-0,6.0207,6.6286,-22.4593
#1-1,6.0695,-6.6861,-22.4291
#1-2,17.3957,-6.6286,-15.4292
#1-3,17.3469,6.6861,-15.4594
#2-0,-9.2961,18.1599,-12.9773
#2-1,1.4919,14.0571,-19.6159
#2-2,9.2961,19.7286,-10.4391
#2-3,-1.4919,23.8315,-3.8005
#3-0,-23.3465,4.5853,-4.3043
#3-1,-16.6814,15.3697,-8.3735
#3-2,-14.5421,18.8311,4.3043
#3-3,-21.2072,8.0468,8.3735
#4-0,-16.722,-15.3039,-8.4127
#4-1,-23.3671,-4.5519,-4.227
#4-2,-21.1666,-8.1125,8.4127
#4-3,-14.5214,-18.8645,4.227
#5-0,1.4196,-14.0511,-19.6255
#5-1,-9.3074,-18.198,-12.9157
#5-2,-1.4196,-23.8374,-3.7909
#5-3,9.3074,-19.6906,-10.5007
#6-0,18.8464,4.2693,14.5327
#6-1,15.3399,-8.3914,16.6998
#6-2,4.5701,-4.2693,23.3559
#6-3,8.0765,8.3914,21.1888
#7-0,21.1661,-8.1132,-8.4132
#7-1,14.5212,-18.8649,-4.2262
#7-2,16.7224,-15.3032,8.4132
#7-3,23.3674,-4.5516,4.2262
#8-0,23.3448,4.588,4.3105
#8-1,16.6781,15.3749,8.3703
#8-2,14.5437,18.8284,-4.3105
#8-3,21.2104,8.0415,-8.3703
#9-0,-9.2961,19.7286,10.4391
#9-1,1.4919,23.8315,3.8005
#9-2,9.2961,18.1599,12.9773
#9-3,-1.4919,14.0571,19.6159
#10-0,-17.3916,-6.6335,15.4318
#10-1,-17.351,6.6812,15.4568
#10-2,-6.0248,6.6335,22.4568
#10-3,-6.0654,-6.6812,22.4317
#11-0,1.4195,-23.8374,3.7909
#11-1,-9.3074,-19.6906,10.5007
#11-2,-1.4195,-14.0511,19.6255
#11-3,9.3074,-18.198,12.9157
