frame,input_angle,pred_angle
0,120.0,119.35406
1,120.0,119.246635
2,120.0,119.21916
3,119.0,119.37103
4,119.0,119.23909
5,119.0,119.13447
6,119.0,119.17181
7,118.0,118.811005
8,118.0,118.54594
9,118.0,118.34865
10,117.0,117.705086
11,117.0,117.34898
12,117.0,117.04298
13,117.0,116.65252
14,116.0,116.45335
15,116.0,116.308784
16,116.0,115.95765
17,116.0,115.68342
18,116.0,115.64834
19,116.0,115.20104
20,116.0,113.68099
21,115.0,112.44961
22,115.0,111.4089
23,115.0,110.943245
24,114.0,109.52689
25,113.0,108.71809
26,112.0,108.489105
27,111.0,108.15698
28,110.0,107.6106
29,109.0,107.30227
30,109.0,107.16626
31,108.0,106.20228
32,107.0,106.39965
33,107.0,107.01939
34,106.0,107.115036
35,106.0,106.5471
36,105.0,104.51262
37,105.0,102.518135
38,104.0,102.34442
39,103.0,100.29621
40,102.0,99.78589
41,101.0,99.8378
42,100.0,99.46936
43,99.0,98.73696
44,98.0,97.46222
45,97.0,96.26293
46,96.0,95.45775
47,95.0,94.31182
48,94.0,93.034225
49,93.0,92.5485
50,92.0,91.31852
51,91.0,91.2752
52,90.0,90.871895
53,89.0,90.45037
54,88.0,89.59384
55,87.0,87.81041
56,86.0,87.09267
57,85.0,86.34086
58,84.0,84.58079
59,83.0,83.906906
60,82.0,82.657265
61,81.0,81.351555
62,80.0,80.81525
63,79.0,79.72952
64,78.0,79.11214
65,77.0,78.480255
66,76.0,77.600174
67,75.0,77.44655
68,74.0,77.030304
69,74.0,76.27259
70,73.0,75.468834
71,73.0,73.884224
72,72.0,73.102264
73,71.0,71.2652
74,70.0,70.60956
75,70.0,70.73907
76,69.0,70.502075
77,69.0,70.25443
78,68.0,69.30008
79,68.0,69.25716
80,68.0,69.281166
81,67.0,69.273155
82,67.0,68.46568
83,67.0,68.22078
84,66.0,67.2908
85,66.0,67.10495
86,66.0,67.15056
87,65.0,66.63634
88,64.0,66.5284
89,64.0,66.16795
90,63.0,65.0365
91,62.0,64.48666
92,62.0,63.395912
93,61.0,61.862083
94,60.0,62.1957
95,60.0,61.979843
96,60.0,61.52813
97,59.0,60.39939
98,59.0,60.87934
99,58.0,58.950134
100,58.0,57.800907
101,58.0,57.596977
102,57.0,57.90161
103,57.0,56.79608
104,56.0,55.69394
105,56.0,57.008595
106,55.0,55.97906
107,55.0,54.465744
108,55.0,55.182484
109,54.0,55.156864
110,54.0,53.739086
111,54.0,53.989582
112,53.0,53.963455
113,53.0,53.504833
114,53.0,52.15698
115,52.0,52.548042
