frame,tx,ty,tz,pitch,yaw,roll
1,-1.03957998752594,-0.5603950023651123,2.299670934677124,-119.59169531542281,-11.824438223123941,-33.53902861863018
2,-3.0694174766540527,-1.6560207605361938,6.791663646697998,-119.51596901929814,-11.789207615813055,-33.512925407221466
3,-5.994762420654297,-3.2350142002105713,13.266963958740234,-119.61280877481585,-11.79394483428284,-33.54389246681865
4,-9.690793991088867,-5.23459005355835,21.4583683013916,-119.65994099755036,-11.77894846753072,-33.49444091681552
5,-14.027450561523438,-7.575527667999268,31.05144500732422,-119.49632124909158,-11.887183223480223,-33.585579256087996
6,-18.834630966186523,-10.173681259155273,41.70009994506836,-119.70207777339256,-11.86798586504841,-33.52118366447213
7,-23.937726974487305,-12.97329330444336,53.07651138305664,-119.64982623368239,-11.795613190434166,-33.33794634558682
8,-29.163999557495117,-15.910026550292969,64.84964752197266,-119.47733969024826,-12.061998993251233,-33.180356414619574
9,-34.39643096923828,-18.918643951416016,76.770263671875,-119.59277092845839,-12.08042934335915,-32.88167849060522
10,-39.548213958740234,-21.948030471801758,88.60848236083984,-119.28090337577105,-12.111927008281993,-32.7068405662351
11,-44.43930435180664,-24.99659538269043,100.17037963867188,-119.26236641874081,-12.36652926708333,-32.241913848464776
12,-49.07881546020508,-28.0069637298584,111.335693359375,-118.90912043756582,-12.589465738712759,-32.0022476311586
13,-53.404911041259766,-30.93321418762207,121.98668670654297,-118.9586476024583,-12.817295381338251,-31.557159522142047
14,-57.39352798461914,-33.76704788208008,132.0723876953125,-118.95988456875827,-12.62071146723657,-31.22861070330235
15,-61.09282302856445,-36.4639892578125,141.54798889160156,-118.87817843727231,-12.813402858016973,-31.110411403890975
16,-64.50653076171875,-39.00883102416992,150.39646911621094,-118.80937264474515,-12.78962081609955,-30.881893351032826
17,-67.5733642578125,-41.42852783203125,158.58624267578125,-118.77934982951712,-12.971328046660515,-30.71063690950381
18,-70.34854888916016,-43.717018127441406,166.16256713867188,-118.49180733444749,-12.880656657306977,-30.55028014718859
19,-72.9085922241211,-45.83559036254883,173.17405700683594,-118.60959783594387,-12.829688490234673,-30.550899784458615
20,-75.07862091064453,-47.89164733886719,179.63038635253906,-118.6175104045919,-12.700435396541398,-30.016160658556586
21,-76.70519256591797,-49.985782623291016,185.59634399414062,-118.77513087877466,-12.476195306298209,-28.841559077058122
22,-77.64134216308594,-52.175270080566406,191.03280639648438,-118.74265279240285,-11.945834596110544,-27.256845542562388
23,-78.13302612304688,-54.297489166259766,195.89218139648438,-118.75129139343368,-11.729584800651894,-26.278311358411635
24,-78.36175537109375,-56.321861267089844,200.29220581054688,-118.79968138963461,-11.53177319232232,-25.689315793857574
25,-78.0197525024414,-58.423885345458984,204.36285400390625,-118.93032292339976,-10.690172440886622,-24.095357129864354
26,-77.37198638916016,-60.425209045410156,207.96609497070312,-118.98252667347158,-10.510112685056214,-23.314201235259407
27,-76.67444610595703,-62.274288177490234,211.19410705566406,-118.68818431509126,-10.341047958502207,-23.03401559814006
28,-75.87721252441406,-64.02567291259766,214.1754608154297,-119.0701589592851,-9.79961345600944,-22.49451286988536
29,-74.9427719116211,-65.6738510131836,216.87030029296875,-119.3380393089733,-9.191540885015623,-21.803092848734444
30,-73.9654312133789,-67.21188354492188,219.28904724121094,-119.19751308404214,-9.005852464219195,-21.612073709373217
31,-72.99362182617188,-68.62084197998047,221.4786834716797,-119.45753496921057,-8.722139187848395,-21.28986152747417
32,-71.67562866210938,-70.02960205078125,223.43373107910156,-119.48997777907563,-8.346498254247974,-20.210727812900053
33,-70.54954528808594,-71.29961395263672,225.239013671875,-119.6198939631873,-8.480069803186279,-20.313391253980644
34,-69.79212188720703,-72.35428619384766,226.82208251953125,-119.2512892334164,-8.52606093367046,-21.119491466203783
35,-69.08757019042969,-73.29383850097656,228.23129272460938,-119.50238256027147,-8.450936124415731,-21.155098791099977
36,-68.23723602294922,-74.24051666259766,229.67922973632812,-120.14349166699081,-8.727883970749138,-20.702422423682464
37,-66.48419189453125,-75.3674545288086,230.8636474609375,-120.14957973464323,-8.499617429711652,-18.288754262484215
38,-64.03634643554688,-76.60588836669922,231.88845825195312,-120.26852863734248,-8.19836748737653,-16.130719173091858
39,-61.71018981933594,-77.7567367553711,232.80772399902344,-120.06585570126987,-8.098409994429424,-15.993782314417059
40,-58.80018997192383,-78.96926879882812,233.5761260986328,-120.10554236765101,-8.985572721730792,-14.256369925793708
41,-55.90910720825195,-80.07530975341797,234.15478515625,-120.04095861015526,-8.273392367253862,-13.501089659538463
42,-53.26120376586914,-81.06842041015625,234.6581573486328,-120.19442566709269,-8.469416418003773,-13.523983710481433
43,-50.74625015258789,-81.97643280029297,235.07623291015625,-120.1994520968827,-7.536814062100304,-13.003776820847408
44,-48.07478713989258,-82.9120101928711,235.63177490234375,-120.78581314243425,-6.463270866463815,-12.15620113366561
45,-45.13471984863281,-83.80152893066406,236.00070190429688,-120.67232845302914,-5.23768905640873,-10.743606550047366
46,-41.95988464355469,-84.69344329833984,236.37741088867188,-120.75664309289134,-4.627725708501207,-9.450211823573026
47,-38.705955505371094,-85.49037170410156,236.5472412109375,-120.79094134155743,-4.060385320777616,-8.451682293096633
48,-35.26023864746094,-86.2844009399414,236.73829650878906,-120.70899474298977,-3.3887996165666454,-7.334578559792237
49,-31.419801712036133,-87.03301239013672,236.8339385986328,-120.76363589993946,-2.19615589489778,-5.433356509647138
50,-27.89661407470703,-87.6992416381836,236.86813354492188,-120.60297335884776,-2.3594057905802734,-5.447028041462549
51,-24.036481857299805,-88.30435180664062,236.83673095703125,-120.7926683762116,-1.2549045391122424,-3.6892694827591224
52,-20.55560874938965,-88.84217071533203,236.7581787109375,-120.59953135627157,-1.2931235035922364,-3.6768824745418733
53,-17.35736656188965,-89.32548522949219,236.67308044433594,-120.58134758021866,-1.4668831225580954,-3.64972146946665
54,-14.295299530029297,-89.77342987060547,236.6295166015625,-120.67098616710093,-1.2314379339661385,-3.2953820961269256
55,-11.143625259399414,-90.17607879638672,236.5594482421875,-120.60979168458778,-0.5207236369979454,-2.2636503583722267
56,-7.516733646392822,-90.52005767822266,236.416748046875,-120.54771923117097,0.360054200837796,-0.4537899019692763
57,-3.970205545425415,-90.82131958007812,236.28466796875,-120.48289140834942,0.5527890769101136,0.20228434124768713
58,-0.16323301196098328,-91.10486602783203,236.2439422607422,-120.50120401148533,1.0678661227063349,1.4606564278488827
59,3.7586348056793213,-91.26403045654297,236.01058959960938,-120.09044861766749,1.5620567285764313,2.7777070900466168
60,7.560262680053711,-91.3912582397461,235.81961059570312,-120.04504778641389,2.0464466476051757,3.4864507832867626
61,11.505160331726074,-91.49176788330078,235.7730712890625,-120.23853923289731,2.0758089564112128,4.490228579326223
62,15.30683708190918,-91.09700775146484,235.05197143554688,-123.03249416199412,-1.29781993614671,5.936184632504212
63,18.970739364624023,-90.78155517578125,234.48532104492188,-122.29454867623701,-1.5228996923986489,6.373517741121527
64,22.70365333557129,-90.55859375,234.1793212890625,-121.55383303069127,-1.5546193589331663,7.444902263848254
65,26.263887405395508,-90.17112731933594,233.6609649658203,-122.35885985803023,-1.6113994307038806,8.147152991706657
66,29.707538604736328,-89.71979522705078,233.11416625976562,-122.6961852608717,-1.2565712706087175,8.896210778002905
67,33.105857849121094,-89.21945190429688,232.57627868652344,-122.77371152188344,-0.8889903486339917,9.859944116729347
68,36.21221923828125,-88.73675537109375,232.06329345703125,-122.83877946838575,-1.065730704087171,9.989547457234265
69,39.18169403076172,-88.3604965209961,231.72457885742188,-121.97239544858932,-1.6622665837831745,10.129694003005188
70,42.1280403137207,-87.9130630493164,231.35850524902344,-122.14190837343928,-1.450537584664075,10.936633247934388
71,45.07096481323242,-87.58009338378906,231.24948120117188,-121.40526715866349,-1.7305231937233896,11.333246521808553
72,48.33624267578125,-87.07441711425781,231.0810546875,-121.63050230546807,-1.6299511682387973,12.930865478249714
73,51.61373519897461,-86.83348846435547,231.33358764648438,-119.42790304301904,-2.7178384197657013,13.204879626787594
74,55.221004486083984,-85.98084259033203,230.96592712402344,-122.18647767820649,-1.1262115129612813,15.888796946340833
75,58.75318908691406,-85.12448120117188,230.64341735839844,-121.89093543247608,-1.439006716901364,16.725574939065844
76,62.08367919921875,-84.10472869873047,230.10610961914062,-123.14344131979665,-0.9797183705257833,17.815699125189784
77,65.10440063476562,-83.18693542480469,229.64306640625,-122.86087442208344,-0.9737395874341201,17.74769599844032
78,67.80281829833984,-82.37333679199219,229.240234375,-122.71044165138764,-1.0593688002601822,17.646890676995465
79,70.35186004638672,-81.59463500976562,228.87619018554688,-122.4594148755824,-1.4400912109983508,18.002581004549892
80,72.6550064086914,-80.82859802246094,228.49835205078125,-122.87107998627953,-1.0252752250382073,18.263340276233354
81,74.72122955322266,-80.12721252441406,228.15005493164062,-122.85725294343867,-0.8088132993883712,18.377225274100272
82,76.68868255615234,-79.43250274658203,227.83370971679688,-122.91731299983454,-1.147206671920545,18.909388337655983
83,78.56208038330078,-78.818115234375,227.6249542236328,-122.52359525117413,-1.6547837050740692,18.755151374417252
84,80.30242919921875,-78.1784896850586,227.36334228515625,-122.70447434074283,-1.3565197001801366,19.26390125515438
85,82.16671752929688,-77.54464721679688,227.20980834960938,-122.30777374837358,-1.9183962401606212,19.86661485206642
86,84.00846862792969,-76.80807495117188,226.95472717285156,-122.84449696265325,-1.301076364174645,20.717795620871915
87,85.64579772949219,-76.16915130615234,226.74838256835938,-122.51983267946211,-1.562319397415305,20.792509952506535
88,87.27670288085938,-75.4657974243164,226.4990692138672,-122.78970449348374,-1.1604935981518048,21.342693951214546
